user_address,profit_in_usdt,volume_traded
0xff5910AB899D4d8CA4fF3b99f93a62BDDBEDA77E,22173097.038803834,"{'WETH': 14752.823232616607, 'USDT': 21291296.683836006, 'DAI': 5324753.828494846, 'USDC': 19026961.400755998}"
0xAd35ED1cfe7c17c7B06c5c5d0672C57dA4925299,22095016.360307775,"{'WETH': 15594.168025032326, 'USDT': 23811307.85530799, 'DAI': 5705577.580942109, 'USDC': 19429989.652130995}"
0xeBedc8e9Ff409b23Dd251F87cCBfFA8075f87255,21889071.597037114,"{'WETH': 15789.208688658211, 'USDT': 23964104.084815, 'DAI': 4735274.678216993, 'USDC': 19546691.05301501}"
0x5fA60dd1d2809604496d3315ab6F878Bd59F64d4,21875881.01548103,"{'WETH': 14613.334412487791, 'USDT': 22705761.867997997, 'DAI': 4764005.199285417, 'USDC': 18178918.020953998}"
0xd2700e7bBe0A8AF6D6C5b3f61d27855dAa425A53,21770044.299481902,"{'WETH': 15412.209159582515, 'USDT': 22370134.592876002, 'DAI': 4827631.283817267, 'USDC': 20162108.018797994}"
0x3A67b184803641ba107C4c75276D747D123e49ca,21332640.494525723,"{'WETH': 15101.668159597804, 'USDT': 22203831.276043, 'DAI': 5234229.701532216, 'USDC': 19453310.873636995}"
0x51301F41c8F83fBDFFaEeE11F846E9C114fB8046,21313560.173805177,"{'WETH': 15299.12925141466, 'USDT': 23277137.55659, 'DAI': 5286533.349965763, 'USDC': 19223800.81985001}"
0x6f0A91Ef8Adeb54DB0E63BE507747aB9a31d3926,21241098.72400835,"{'WETH': 16356.705124860759, 'USDT': 23437786.04443299, 'DAI': 5451466.146528684, 'USDC': 21647250.609814003}"
0x0cac3d1a887206e0f6169222C4504301A8b4b993,21018108.92195795,"{'WETH': 13359.210274952598, 'USDT': 20101612.854991995, 'DAI': 4455527.83076276, 'USDC': 15219935.165679002, 'MATIC': 372429.2377004898, 'UNI': 99992.30094565846}"
0xBbAD96336943A36E3e292D973B3382dd0bA4D1EF,20727861.831295095,"{'WETH': 13249.02702277992, 'USDT': 20911818.189556, 'DAI': 5508567.871046299, 'USDC': 13938366.077489994, 'MATIC': 351772.7815274425, 'UNI': 62698.64056851996}"
0xF72837a9fce033d57094f52e4f88F129502fA067,20606869.123954993,"{'WETH': 15195.439014233687, 'USDT': 20924391.315169994, 'DAI': 6518739.09537761, 'USDC': 19009379.313060995}"
0x9eb9E9B2bA5c2665a16beaa8E137410358B6BeaF,20440963.40122986,"{'WETH': 14878.013774745328, 'USDT': 23278305.662382998, 'DAI': 4810070.46231468, 'USDC': 18176912.665412996}"
0xeAA9EbddD373c4bd8bb92dFcC9c7E7FCdb268e51,20418065.111478325,"{'WETH': 15508.378007111138, 'USDT': 22793171.221285, 'DAI': 4355717.970283372, 'USDC': 20821563.305003993}"
0xbAa3Ef11659D347Aae75c7bb67e29f1f8bB90843,20152261.413236767,"{'WETH': 14877.930680314954, 'USDT': 21608346.554593004, 'DAI': 6193596.790038077, 'USDC': 18419039.386978995}"
0x93F635372008B7c5d770AAa6Ff313454c8dc498c,19420003.19913192,"{'WETH': 13210.710877575726, 'USDT': 18913720.892047007, 'DAI': 5299422.582810268, 'USDC': 14357345.373217, 'MATIC': 398812.73000804766, 'UNI': 75203.4129148363}"
0xbbDE9f0C24b6F59D7E828bb4E129992BE0cDC237,19106426.186650172,"{'WETH': 11823.86301839729, 'USDT': 15677651.645252002, 'DAI': 4795690.74256436, 'USDC': 9442692.369961003, 'MATIC': 706048.2905600775, 'UNI': 839787.2292773902}"
0x867bDC57D1B071FE5A9F670Dd70b91E4269814D3,19075680.71160381,"{'WETH': 16312.340600432368, 'USDT': 23985914.57500199, 'DAI': 4708052.549097798, 'USDC': 22186125.366584}"
0xb36ce3F521a1FF4B0CffB82DDd71F0a51fCf56ce,18906780.330880277,"{'WETH': 13802.147581539191, 'USDT': 22991094.712266997, 'DAI': 4353653.38577684, 'USDC': 14819363.364980992}"
0x60b86AF869f23aEb552fB7F3CaBD11B829f6Ab2F,18580454.573300567,"{'WETH': 12669.282269571328, 'USDT': 17651034.816632997, 'DAI': 5740493.924399638, 'USDC': 14134642.506423002, 'MATIC': 351394.5257353894, 'UNI': 108504.79177271787}"
0xC8DF1A5953aa7F62a35Ff1501E0C10eb3c33eBfe,18509100.48073965,"{'WETH': 15354.193425039, 'USDT': 24051281.764091, 'DAI': 5334205.4316038005, 'USDC': 18111811.511122998}"
0x431B5A84aCC1297Eda88259f300262F1bc3A74f3,18195675.910386708,"{'WETH': 13210.49827827535, 'USDT': 19871240.858752, 'DAI': 5067305.809676783, 'USDC': 14743012.188392004, 'MATIC': 312658.8190110835, 'UNI': 88547.06820828811}"
0xD6f4567bfa29BC70B26dCCAeb07E5868905D667c,17683819.593700614,"{'WETH': 13766.436611696046, 'USDT': 19565754.143875003, 'DAI': 5968624.493941648, 'USDC': 16884451.404772}"
0x43e4715ae093a4C86B5eCdDb52216c4f879e9672,17677010.823449064,"{'WETH': 12111.039071407065, 'USDT': 15280009.384256003, 'DAI': 4979477.211744054, 'USDC': 16239021.705591002, 'MATIC': 270735.7176973735, 'UNI': 62270.630407167104}"
0x26bce6eCb5b10138e4bf14aC0ffcc8727FEF3B2e,17518229.21956865,"{'WETH': 12682.062692262984, 'USDT': 14670312.912317999, 'DAI': 3974932.4922241694, 'USDC': 18814632.541729007, 'MATIC': 525897.969008492, 'UNI': 112633.47224114648}"
0x042523DB4F3Effc33d2742022B2490258494f8B3,17325966.099938564,"{'WETH': 11733.059978799673, 'USDT': 17486975.031329006, 'DAI': 5269374.0797644155, 'USDC': 12370514.06081799, 'MATIC': 232134.03160575987, 'UNI': 121589.8572070877}"
0x36a454aEF52938c8637CD4689B2980C1Cfd43389,17027926.493913595,"{'WETH': 13115.756852788027, 'USDT': 16520903.056157995, 'DAI': 5176404.042567686, 'USDC': 16859382.927601993, 'MATIC': 235628.60216963504, 'UNI': 112943.06996031261}"
0x4603180BBB8221157880AfaA84638E0fc467738D,17025069.200094234,"{'WETH': 11856.95279989455, 'USDT': 16207994.575918995, 'DAI': 4882762.036271117, 'USDC': 13693856.210329996, 'MATIC': 368259.07775555685, 'UNI': 119350.60791127435}"
